Country,Infected,NewInfected,Dead,NewDead,Recovered,Active,Critical,TotCasesPer1M,TotDeadPer1M,FirstCase
USA,176518,12730,3431,290,6241,166846,3893,533,10,20-Jan
Italy,105792,4053,12428,837,15729,77635,4023,1750,206,29-Jan
Spain,94417,6461,8269,553,19259,66889,5607,2019,177,30-Jan
China,81518,79,3305,5,76052,2161,528,57,2,10-Jan
Germany,68180,1295,682,37,15824,51674,1979,814,8,26-Jan
Iran,44605,3110,2898,141,14656,27051,3703,531,35,18-Feb
France,44550,,3024,,7927,33599,5056,683,46,23-Jan
UK,25150,3009,1789,381,135,23226,163,370,26,30-Jan
Switzerland,16186,264,395,36,1823,13968,301,1870,46,24-Feb
Turkey,13531,2704,214,46,243,13074,568,160,3,09-Mar
Belgium,12775,876,705,192,1696,10374,1021,1102,61,03-Feb
Netherlands,12595,845,1039,175,250,11306,1053,735,61,26-Feb
Austria,10088,470,128,20,1095,8865,198,1120,14,24-Feb
S. Korea,9786,125,162,4,5408,4216,55,191,3,19-Jan
Canada,7474,26,92,3,1114,6268,120,198,2,24-Jan
Portugal,7443,1035,160,20,43,7240,188,730,16,01-Mar
Israel,4831,136,17,1,163,4651,83,558,2,20-Feb
Brazil,4715,85,168,5,127,4420,296,22,0.8,24-Feb
Norway,4605,160,39,7,13,4553,97,849,7,25-Feb
Australia,4561,101,19,,337,4205,28,179,0.7,24-Jan
Sweden,4435,407,180,34,16,4239,358,439,18,30-Jan
Czechia,3138,137,25,2,25,3088,64,293,2,29-Feb
Ireland,2910,,54,,5,2851,103,589,11,28-Feb
Denmark,2860,283,90,13,1,2769,145,494,16,26-Feb
Malaysia,2766,140,43,6,537,2186,94,85,1,24-Jan
Chile,2738,289,12,4,156,2570,14,143,0.6,02-Mar
Russia,2337,501,17,8,121,2199,8,16,0.1,30-Jan
Romania,2245,136,79,14,220,1946,62,117,4,25-Feb
Ecuador,2240,274,75,13,54,2111,100,127,4,28-Feb
Poland,2215,160,32,1,7,2176,50,59,0.8,03-Mar
Luxembourg,2178,190,23,1,80,2075,31,3479,37,28-Feb
Philippines,2084,538,88,10,49,1947,1,19,0.8,29-Jan
Japan,1953,,56,,424,1473,56,15,0.4,14-Jan
Pakistan,1914,197,26,5,76,1812,12,9,0.1,25-Feb
Thailand,1651,127,10,1,342,1299,23,24,0.1,12-Jan
Saudi Arabia,1563,110,10,2,165,1388,31,45,0.3,01-Mar
Indonesia,1528,114,136,14,81,1311,,6,0.5,01-Mar
Finland,1418,66,17,4,10,1391,56,256,3,28-Jan
South Africa,1353,27,3,,31,1319,7,23,0.05,04-Mar
Greece,1314,102,49,3,52,1213,72,126,5,25-Feb
India,1251,,32,,102,1117,,0.9,0.02,29-Jan
Iceland,1135,49,2,,198,935,11,3326,6,27-Feb
Dominican Republic,1109,208,51,9,5,1053,,102,5,29-Feb
Mexico,1094,101,28,8,35,1031,1,8,0.2,27-Feb
Panama,1075,,27,,9,1039,43,249,6,09-Mar
Argentina,966,146,26,3,240,700,,21,0.6,02-Mar
Peru,950,,24,,53,873,49,29,0.7,05-Mar
Singapore,926,47,3,,240,683,22,158,0.5,22-Jan
Serbia,900,115,23,7,42,835,62,103,3,05-Mar
Croatia,867,77,6,,67,794,32,211,1,24-Feb
Slovenia,802,46,15,4,10,777,24,386,7,03-Mar
Colombia,798,,14,,15,769,29,16,0.3,05-Mar
Estonia,745,30,4,1,26,715,13,562,3,26-Feb
Algeria,716,132,44,9,46,626,,16,1,24-Feb
Hong Kong,714,31,4,,128,582,5,95,0.5,22-Jan
Diamond Princess,712,,10,,603,99,15,,,04-Feb
Qatar,693,,1,,51,641,6,241,0.3,28-Feb
UAE,664,53,6,1,61,597,2,67,0.6,28-Jan
Egypt,656,,41,,150,465,,6,0.4,13-Feb
New Zealand,647,58,1,,74,572,2,134,0.2,27-Feb
Iraq,630,,46,,152,432,,16,1,21-Feb
Morocco,574,18,33,,15,526,1,16,0.9,01-Mar
Bahrain,567,52,4,,295,268,2,333,2,23-Feb
Ukraine,549,1,13,,8,528,,13,0.3,02-Mar
Lithuania,537,46,8,1,7,522,27,197,3,27-Feb
Armenia,532,50,3,,30,499,30,180,1,29-Feb
Hungary,492,45,16,1,37,439,6,51,2,03-Mar
Lebanon,463,17,12,1,37,414,7,68,2,20-Feb
Bosnia and Herzegovina,411,43,12,2,17,382,1,125,4,04-Mar
Bulgaria,399,40,8,,17,374,14,57,1,06-Mar
Latvia,398,22,,,1,397,3,211,,01-Mar
Andorra,370,,8,,10,352,10,4789,104,01-Mar
Slovakia,363,27,,,3,360,1,66,,05-Mar
Tunisia,362,,10,1,3,349,10,31,0.8,01-Mar
Moldova,353,55,4,2,18,331,44,88,1,06-Mar
Kazakhstan,340,38,2,1,22,316,6,18,0.1,12-Mar
Costa Rica,330,,2,,4,324,7,65,0.4,04-Mar
North Macedonia,329,44,9,2,12,308,4,158,4,25-Feb
Taiwan,322,16,5,,39,278,,14,0.2,20-Jan
Uruguay,320,,1,,25,294,9,92,0.3,12-Mar
Azerbaijan,298,25,5,1,26,267,11,29,0.5,27-Feb
Kuwait,289,23,,,73,216,13,68,,23-Feb
Jordan,268,,5,,26,237,5,26,0.5,01-Mar
Cyprus,262,32,8,1,23,231,3,217,7,08-Mar
Réunion,247,23,,,1,246,4,276,,10-Mar
Burkina Faso,246,,12,,31,203,,12,0.6,08-Mar
Albania,243,20,15,4,52,176,8,84,5,07-Mar
San Marino,230,,25,,13,192,16,6778,737,26-Feb
Vietnam,207,3,,,58,149,3,2,,22-Jan
Cameroon,193,54,6,,5,182,,7,0.2,05-Mar
Oman,192,13,,,34,158,3,38,,23-Feb
Cuba,186,16,6,2,8,172,3,16,0.5,10-Mar
Senegal,175,13,,,40,135,,10,,01-Mar
Afghanistan,174,4,4,,5,165,,4,0.1,23-Feb
Faeroe Islands,169,1,,,74,95,3,3459,,03-Mar
Malta,169,13,,,2,167,2,383,,06-Mar
Ivory Coast,168,,1,,6,161,,6,0.04,10-Mar
Uzbekistan,167,18,2,,7,158,8,5,0.06,14-Mar
Ghana,152,,5,,31,116,1,5,0.2,11-Mar
Belarus,152,,1,1,47,104,2,16,0.1,27-Feb
Mauritius,143,15,4,1,,139,1,112,3,17-Mar
Sri Lanka,142,20,2,,17,123,5,7,0.09,26-Jan
Honduras,141,2,7,,3,131,4,14,0.7,10-Mar
Channel Islands,141,,3,1,,138,,811,17,08-Mar
Venezuela,135,,3,,39,93,6,5,0.1,12-Mar
Nigeria,135,4,2,,8,125,,0.7,0.01,27-Feb
Brunei,129,2,1,,45,83,3,295,2,08-Mar
Martinique,119,26,2,1,27,90,15,317,5,04-Mar
Palestine,117,,1,,18,98,,23,0.2,04-Mar
Georgia,110,7,,,21,89,6,28,,25-Feb
Cambodia,109,2,,,23,86,1,7,,26-Jan
Bolivia,107,10,6,2,,101,3,9,0.5,09-Mar
Kyrgyzstan,107,13,,,3,104,,16,,17-Mar
Guadeloupe,106,,4,,17,85,10,265,10,12-Mar
Montenegro,105,14,2,1,,103,1,167,3,16-Mar
